	genes	uniprot	drugbank	pfam	hgnc.symbol	dbsnp	smpdb
305	PRKCB	P05771	DB00163;DB00675;DB01738;DB02010;DB04209;DB06486;DB08846;DB08862;DB09096;DB14001;DB14002	PF00069;PF00130;PF00168;PF00433	PRKCB		SMP0056661;SMP0056662;SMP0056811;SMP0057579;SMP0057580;SMP0057581;SMP0057582;SMP0057583;SMP0057584;SMP0057585;SMP0057586;SMP0057587;SMP0058732;SMP0058741;SMP0058769;SMP0058785;SMP0058797;SMP0058803;SMP0058808;SMP0058813;SMP0058891;SMP0058903;SMP0058908;SMP0058916;SMP0058923;SMP0058931;SMP0058936;SMP0058956;SMP0058964;SMP0059044;SMP0059058;SMP0059110;SMP0059114;SMP0059211;SMP0059689;SMP0059694;SMP0059710;SMP0059716;SMP0059720;SMP0059730;SMP0059738;SMP0059865;SMP0059868;SMP0059872;SMP0059881;SMP0059897;SMP0060058;SMP0060170;SMP0060195;SMP0060201;SMP0060204;SMP0060208;SMP0060218;SMP0060224;SMP0060230;SMP0060235;SMP0060740;SMP0060741;SMP0060742;SMP0060744;SMP0061040;SMP0061047;SMP0061052;SMP0061190;SMP0061191;SMP0062621;SMP0062623;SMP0062625;SMP0062881;SMP0062884;SMP0062885;SMP0062886;SMP0062894;SMP0062895
306	PRKCI	P41743	DB00675;DB02010;DB03777;DB04209;DB09096;DB12010	PF00069;PF00130;PF00564	PRKCI		
307	PRKCZ	Q05513	DB00675;DB02010;DB04209;DB09096	PF00069;PF00130;PF00433;PF00564	PRKCZ		SMP0000320;SMP0000321
308	PRKD1	Q15139	DB11752;DB12010	PF00069;PF00130;PF00169	PRKD1		
309	PRMT1	Q99873	DB01752	PF13847	PRMT1		
310	PSAT1	Q9Y617	DB00114;DB00142	PF00266	PSAT1		SMP0000004;SMP0000179;SMP0000223;SMP0000242;SMP0000244;SMP0000484;SMP0000485;SMP0000721
311	PSPH	P78330	DB01593;DB03292;DB14487;DB14533;DB14548		PSPH		SMP0000004;SMP0000179;SMP0000223;SMP0000242;SMP0000244;SMP0000484;SMP0000485;SMP0000721
312	PTEN	P60484	DB04327	PF00782;PF10409	PTEN		SMP0000463;SMP0000582
313	PTGES3	Q15185	DB00316;DB05036;DB09130	PF04969	PTGES3		
314	PTGR1	Q14914	DB03461;DB04066;DB07177	PF00107	PTGR1		
315	PTGS2	P35354	DB00035;DB00041;DB00154;DB00159;DB00233;DB00244;DB00250;DB00316;DB00328;DB00360;DB00461;DB00465;DB00469;DB00480;DB00482;DB00500;DB00515;DB00533;DB00554;DB00573;DB00580;DB00586;DB00605;DB00620;DB00712;DB00720;DB00749;DB00773;DB00784;DB00788;DB00795;DB00812;DB00814;DB00821;DB00856;DB00861;DB00870;DB00884;DB00887;DB00936;DB00939;DB00945;DB00963;DB00991;DB01009;DB01014;DB01041;DB01050;DB01250;DB01283;DB01395;DB01397;DB01399;DB01401;DB01404;DB01419;DB01435;DB01600;DB01628;DB02266;DB02709;DB03477;DB03866;DB04552;DB04725;DB04743;DB05095;DB05804;DB05875;DB06195;DB06436;DB06725;DB06736;DB06774;DB06802;DB06804;DB08439;DB08819;DB08910;DB09061;DB09212;DB09213;DB09214;DB09215;DB09216;DB09217;DB09285;DB09288;DB09295;DB11071;DB11079;DB11133;DB11201;DB11323;DB11327;DB11752;DB13167;DB13168;DB13346;DB13501;DB13514;DB13783;DB13961;DB14009;DB14011;DB14060	PF00008;PF03098	PTGS2		SMP0000075;SMP0000077;SMP0000083;SMP0000084;SMP0000085;SMP0000086;SMP0000087;SMP0000093;SMP0000094;SMP0000096;SMP0000098;SMP0000101;SMP0000102;SMP0000104;SMP0000106;SMP0000109;SMP0000113;SMP0000114;SMP0000116;SMP0000120;SMP0000289;SMP0000353;SMP0000442;SMP0000590;SMP0000601;SMP0000644;SMP0000692;SMP0000693;SMP0000694;SMP0000695;SMP0000696;SMP0000697;SMP0000698;SMP0000699;SMP0000700;SMP0000701;SMP0000702;SMP0000703;SMP0000704;SMP0000705;SMP0000706;SMP0000707;SMP0000708;SMP0000709;SMP0000710
316	PTPN1	P18031	DB01734;DB01820;DB02014;DB02072;DB02259;DB02420;DB02436;DB02615;DB02620;DB02622;DB02651;DB02662;DB02784;DB02827;DB02977;DB03102;DB03154;DB03311;DB03483;DB03557;DB03661;DB03670;DB03714;DB03982;DB04001;DB04088;DB04142;DB04204;DB04285;DB04525;DB04800;DB05506;DB06333;DB06521;DB06829;DB06887;DB07130;DB07134;DB07197;DB07263;DB07289;DB07295;DB07298;DB07480;DB07651;DB07719;DB07730;DB08001;DB08003;DB08147;DB08371;DB08397;DB08549;DB08591;DB08593;DB08783	PF00102	PTPN1		
317	PTPN11	Q06124	DB02779	PF00017;PF00102	PTPN11		
318	PTPN6	P29350	DB01133	PF00017;PF00102	PTPN6		
319	PTS	Q03393	DB00688;DB03886	PF01242	PTS		SMP0000005;SMP0000486;SMP0000487;SMP0000488;SMP0000489;SMP0000490;SMP0000491
320	PYCR3	Q53H96	DB00172	PF03807;PF14748	PYCRL		
321	PYGB	P11216	DB00114;DB03496	PF00343	PYGB		
322	QARS1	P47897	DB00130	PF00749;PF03950;PF04557;PF04558	QARS		SMP0000072;SMP0000136;SMP0000243;SMP0000339;SMP0000385;SMP0000567
323	QDPR	P09417	DB00157;DB03814	PF00106	QDPR		SMP0000005;SMP0000486;SMP0000487;SMP0000488;SMP0000489;SMP0000490;SMP0000491
324	RAB5A	P20339	DB02467;DB04137;DB04315	PF00071	RAB5A		
325	RAC1	P63000	DB00514;DB00993;DB04315	PF00071	RAC1		SMP0000358;SMP0000427;SMP0000428;SMP0000430;SMP0000609
326	RALA	P11233	DB04315	PF00071	RALA		
327	RALBP1	Q15311	DB00398;DB00541;DB00564;DB00997	PF00620	RALBP1		SMP0000436;SMP0000437;SMP0000438;SMP0000439;SMP0000650
328	RAN	P62826	DB04315	PF00071	RAN		
329	RDH11	Q8TC12	DB00162	PF00106	RDH11		SMP0000074;SMP0000336
330	RDH14	Q9HBH5	DB00162	PF00106	RDH14		
331	RFK	Q969G6	DB00140;DB03247	PF01687	RFK		SMP0000070
332	RHOA	P61586	DB04315	PF00071	RHOA		
333	ROCK2	O75116	DB08162;DB08756;DB12010;DB13165;DB13931;DB16703	PF00069;PF08912	ROCK2		
334	RPE	Q96AT9	DB00153	PF00834	RPE		SMP0000031;SMP0000518;SMP0000519;SMP0000520
335	RPIA	P49247	DB01756	PF06026	RPIA		SMP0000031;SMP0000518;SMP0000519;SMP0000520;SMP0000654
336	RPS6KA3	P51812	DB00945;DB12010	PF00069;PF00433	RPS6KA3		
337	RPS6KA4	O75676	DB03247	PF00069;PF00433	RPS6KA4		
338	RUVBL2	Q9Y230	DB04216	PF06068	RUVBL2		
339	SARS1	P49591	DB00133	PF00587;PF02403	SARS		SMP0000004;SMP0000179;SMP0000223;SMP0000242;SMP0000244;SMP0000484;SMP0000485;SMP0000721
340	SCN4A	P35499	DB00243;DB00273;DB00281;DB00313;DB00555;DB00564;DB00586;DB00776;DB00818;DB00907;DB00909;DB01069;DB01161;DB01195;DB05541;DB09085;DB09088;DB09342;DB09345;DB11186;DB13154;DB13269;DB13746;DB13961	PF00520;PF06512	SCN4A		
341	SCN9A	Q15858	DB00243;DB00273;DB00281;DB00313;DB00555;DB00564;DB00776;DB00907;DB00909;DB01069;DB01161;DB05541;DB06201;DB06218;DB09085;DB09088;DB09342;DB09345;DB11186;DB13269;DB13746;DB13961	PF00520;PF06512;PF11933	SCN9A		
342	SHMT1	P34896	DB00114;DB00116;DB00145;DB01055;DB02067;DB02800;DB02824	PF00464	SHMT1		SMP0000004;SMP0000033;SMP0000177;SMP0000179;SMP0000214;SMP0000221;SMP0000222;SMP0000223;SMP0000242;SMP0000244;SMP0000340;SMP0000341;SMP0000465;SMP0000484;SMP0000485;SMP0000570;SMP0000721;SMP0002313
343	SIRT2	Q8IXJ6	DB15493	PF02146	SIRT2		
344	SKP1	P63208	DB01750;DB06980;DB06981;DB06982;DB07950	PF01466;PF03931	SKP1		
345	SLC11A2	P49281	DB06796;DB09130;DB13257;DB14520;DB15598	PF01566	SLC11A2		
346	SLC12A2	P55011	DB00214;DB00761;DB00887;DB01325;DB11098	PF00324;PF03522;PF08403	SLC12A2		
347	SLC12A4	Q9UP95	DB00761;DB00887	PF00324;PF03522	SLC12A4		
348	SLC12A6	Q9UHW9	DB00761	PF00324;PF03522	SLC12A6		SMP0000078;SMP0000080;SMP0000081;SMP0000088;SMP0000090;SMP0000091;SMP0000097;SMP0000100;SMP0000103;SMP0000105;SMP0000108;SMP0000110;SMP0000115;SMP0000118;SMP0000121;SMP0000122;SMP0000132;SMP0000133;SMP0000134;SMP0000135;SMP0000184;SMP0000189;SMP0000193;SMP0000197;SMP0000245;SMP0000583;SMP0000723
349	SLC12A7	Q9Y666	DB00761	PF00324;PF03522	SLC12A7		
350	SLC14A1	Q13336	DB01005;DB03904		SLC14A1		
351	SLC16A1	P53985	DB00119;DB00142;DB00175;DB00313;DB00345;DB00415;DB00529;DB00563;DB00627;DB00731;DB00936;DB01032;DB01440;DB01762;DB03066;DB03166;DB03773;DB03793;DB04074;DB04216;DB04348;DB04398;DB04552;DB07767;DB08892;DB09338	PF07690	SLC16A1		SMP0000654;SMP0002298
352	SLC16A10	Q8TF71	DB00117;DB00119;DB00120;DB00123;DB00125;DB00128;DB00130;DB00133;DB00134;DB00135;DB00138;DB00142;DB00145;DB00149;DB00150;DB00151;DB00156;DB00160;DB00161;DB00167;DB00172;DB00174;DB00279;DB01235;DB01583;DB01746;DB01786;DB02556;DB02952;DB03107;DB03225;DB03839;DB03929;DB04398;DB06262	PF07690	SLC16A10		
353	SLC19A1	P41440	DB00563;DB00642;DB01157;DB06813;DB11256	PF01770	SLC19A1		
354	SLC19A2	O60779	DB00152	PF01770	SLC19A2		SMP0000076
355	SLC1A1	P43005	DB00128;DB00142;DB00230	PF00375	SLC1A1		SMP0000078;SMP0000080;SMP0000081;SMP0000088;SMP0000090;SMP0000091;SMP0000097;SMP0000100;SMP0000103;SMP0000105;SMP0000108;SMP0000110;SMP0000115;SMP0000118;SMP0000121;SMP0000122;SMP0000132;SMP0000133;SMP0000134;SMP0000135;SMP0000184;SMP0000189;SMP0000193;SMP0000197;SMP0000245;SMP0000583;SMP0000723
356	SLC1A4	P43007	DB00160	PF00375	SLC1A4		SMP0000001;SMP0000002;SMP0000003;SMP0000059;SMP0000127;SMP0000205;SMP0000357;SMP0002298
357	SLC1A5	Q15758	DB00130;DB00174;DB13146	PF00375	SLC1A5		SMP0000001;SMP0000002;SMP0000003;SMP0000059;SMP0000205;SMP0000357;SMP0000654;SMP0002298
358	SLC22A16	Q86VW1	DB00583;DB00997	PF00083	SLC22A16		SMP0000650
359	SLC22A4	Q9H015	DB00122;DB00123;DB00125;DB00127;DB00184;DB00332;DB00345;DB00458;DB00468;DB00501;DB00536;DB00575;DB00583;DB00594;DB00661;DB00908;DB00983;DB00987;DB01005;DB01035;DB01043;DB01053;DB01137;DB01151;DB01165;DB01409;DB01917;DB03566;DB06691;DB08837;DB13943;DB13944;DB13946;DB14006;DB14754	PF00083	SLC22A4		
360	SLC22A7	Q9Y694	DB00175;DB00277;DB00313;DB00328;DB00345;DB00437;DB00456;DB00493;DB00495;DB00501;DB00544;DB00563;DB00584;DB00595;DB00624;DB00759;DB00887;DB00917;DB00936;DB00943;DB01004;DB01009;DB01016;DB01017;DB01032;DB01045;DB01160;DB01211;DB01248;DB01303;DB01326;DB01329;DB02527;DB02659;DB03553;DB09327;DB13943;DB13944;DB13946	PF07690	SLC22A7		
361	SLC25A4	P12235	DB00171;DB00720;DB01077;DB01736;DB02426;DB03429;DB04178	PF00153	SLC25A4		SMP0000355
362	SLC25A5	P05141	DB00720;DB01077	PF00153	SLC25A5		
363	SLC25A6	P12236	DB00720;DB01077	PF00153	SLC25A6		
364	SLC27A2	O14975	DB11936	PF00501;PF13193	SLC27A2		SMP0000450;SMP0000451
365	SLC29A1	Q99808	DB00197;DB00432;DB00441;DB00544;DB00640;DB00642;DB00811;DB00898;DB00900;DB00943;DB00987;DB01033;DB01073;DB01280;DB02745;DB09061;DB09327;DB12010;DB14009;DB14011	PF01733	SLC29A1		SMP0000427;SMP0000428;SMP0000430;SMP0000446;SMP0000603;SMP0000609
366	SLC2A1	P11166	DB00126;DB00237;DB00292;DB01296;DB01914;DB02709;DB08830;DB08831;DB09341;DB09502;DB11059	PF00083	SLC2A1		SMP0000444;SMP0000579;SMP0000580
367	SLC2A2	P11168	DB00428;DB01296;DB01914;DB09341;DB09344;DB09502	PF00083	SLC2A2		SMP0000040;SMP0000127;SMP0000128;SMP0000374;SMP0000453;SMP0000454;SMP0000457;SMP0000458;SMP0000460;SMP0000461;SMP0000531;SMP0000560;SMP0000562;SMP0000563;SMP0000572;SMP0000573;SMP0000574;SMP0000581;SMP0000654
368	SLC2A3	P11169	DB00126;DB01296;DB01914;DB09341;DB09502	PF00083	SLC2A3		
369	SLC2A4	P14672	DB00126;DB01296;DB01914;DB09341;DB09502	PF00083	SLC2A4		SMP0000127
370	SLC2A5	P22732	DB01914;DB09344;DB09502	PF00083	SLC2A5		
371	SLC30A1	Q9Y6M5	DB14533;DB14548	PF01545	SLC30A1		
372	SLC31A1	O15431	DB00515;DB00526;DB00958;DB09130	PF04145	SLC31A1		
373	SLC39A10	Q9ULF5	DB14533;DB14548	PF02535	SLC39A10		
374	SLC39A8	Q9C0K1	DB14533;DB14548	PF02535	SLC39A8		
375	SLC40A1	Q9NP59	DB13257;DB14520	PF06963	SLC40A1		
376	SLC41A1	Q8IVJ1	DB14513	PF01769	SLC41A1		
377	SLC43A3	Q8NBI5	DB00993	PF07690	SLC43A3		
378	SLC44A1	Q8WWI5	DB00122;DB14006	PF04515	SLC44A1		SMP0002313
379	SLC44A2	Q8IWA5	DB00122	PF04515	SLC44A2		SMP0002313
380	SLC6A8	P48029	DB00148;DB13191	PF00209	SLC6A8		
381	SLC6A9	P48067	DB00145	PF00209	SLC6A9		
382	SLC7A1	P30825	DB00123;DB00125;DB00129	PF13520;PF13906	SLC7A1		
383	SLC7A6	Q92536	DB00130	PF13520	SLC7A6		SMP0000078;SMP0000080;SMP0000081;SMP0000088;SMP0000090;SMP0000091;SMP0000097;SMP0000100;SMP0000103;SMP0000105;SMP0000108;SMP0000110;SMP0000115;SMP0000118;SMP0000121;SMP0000122;SMP0000132;SMP0000133;SMP0000134;SMP0000135;SMP0000184;SMP0000189;SMP0000193;SMP0000197;SMP0000245;SMP0000583;SMP0000723
384	SLC9A1	P19634	DB00594;DB01043;DB02624;DB06468	PF00999;PF16644	SLC9A1		
385	SMOX	Q9NWM0	DB00127;DB04188	PF01593	SMOX		
386	SMPD1	P17405	DB00381;DB00477;DB01151;DB12151;DB14009	PF00149	SMPD1		
387	SMS	P52788	DB00127	PF01564	SMS		SMP0000445
388	SOD1	P00441	DB00163;DB00515;DB00526;DB00958;DB00988;DB01064;DB01593;DB01629;DB03382;DB05025;DB09061;DB09096;DB09130;DB09221;DB14001;DB14002;DB14009;DB14011;DB14487;DB14533;DB14548	PF00080	SOD1		
389	SORD	Q00796	DB00157;DB04478	PF00107;PF08240	SORD		SMP0000064;SMP0000561;SMP0000725
390	SPHK1	Q9NYA1	DB08868	PF00781	SPHK1		
391	SPTLC1	O15269	DB00114;DB00133	PF00155	SPTLC1		SMP0000034;SMP0000347;SMP0000348;SMP0000349;SMP0000525;SMP0000526
392	SPTLC2	O15270	DB00114;DB00133	PF00155	SPTLC2		SMP0000034;SMP0000347;SMP0000348;SMP0000349;SMP0000525;SMP0000526
393	SRM	P19623	DB00118	PF01564	SRM		SMP0000033;SMP0000177;SMP0000214;SMP0000221;SMP0000222;SMP0000340;SMP0000341;SMP0000445;SMP0000570
394	SYK	P43405	DB02010;DB06834;DB07159;DB07194;DB08361;DB08846;DB12010;DB12121	PF00017;PF07714	SYK		SMP0000358
395	TARS1	P26639	DB00156	PF00587;PF02824;PF03129;PF07973	TARS		
396	TF	P02787	DB00515;DB00677;DB00893;DB01294;DB01370;DB01592;DB01593;DB05260;DB06215;DB06757;DB06784;DB09130;DB11136;DB11182;DB11397;DB13257;DB13949;DB14487;DB14488;DB14489;DB14490;DB14491;DB14501;DB14517;DB14518;DB14520;DB14526;DB14527;DB14528;DB14529;DB14530;DB14533;DB14548	PF00405	TF		
397	TFR2	Q9UP52	DB13257;DB15617	PF02225;PF04389	TFR2		
398	TFRC	P02786	DB01592;DB13257;DB13949;DB14488;DB14489;DB14490;DB14491;DB14501;DB14520;DB15617	PF02225;PF04253;PF04389	TFRC		
399	TGM2	P21980	DB00130;DB04315;DB11254	PF00868;PF00927;PF01841	TGM2		
400	TGM3	Q08188	DB00130;DB01864;DB01972;DB03152;DB04315	PF00868;PF00927;PF01841	TGM3		
401	THTPA	Q9BU02	DB00152	PF01928	THTPA		SMP0000076
402	TKT	P29401	DB09130	PF00456;PF02779;PF02780	TKT		SMP0000031;SMP0000518;SMP0000519;SMP0000520;SMP0000654
403	TPI1	P60174	DB01593;DB01695;DB02726;DB03026;DB03132;DB03135;DB03314;DB03379;DB03900;DB04326;DB04447;DB04510;DB07387;DB11638;DB14487;DB14533;DB14548	PF00121	TPI1		SMP0000040;SMP0000064;SMP0000128;SMP0000374;SMP0000531;SMP0000560;SMP0000561;SMP0000562;SMP0000563;SMP0000572;SMP0000573;SMP0000574;SMP0000581;SMP0000725
404	TPK1	Q9H3S4	DB00152;DB04768	PF04263;PF04265	TPK1		SMP0000076
405	TPMT	P51580	DB00436;DB00993;DB01021;DB01033;DB01250;DB01327	PF05724	TPMT	rs1142345;rs1800460;rs1800462;rs1800584	SMP0000427;SMP0000428;SMP0000430;SMP0000609
406	TRPV2	Q9Y5S1	DB09061;DB11755;DB14009;DB14011;DB14050	PF00520;PF12796	TRPV2		
407	TSTD1	Q8NFU3	DB09499	PF00581	TSTD1		
408	TXN	P10599	DB12695	PF00085	TXN		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
409	TXNRD1	Q16881	DB00126;DB01169;DB02338;DB03147;DB03566;DB04106;DB05428;DB05448;DB11127;DB11135	PF00462;PF02852;PF07992	TXNRD1		
410	UBA1	P22314	DB04119;DB04216	PF00899;PF09358;PF10585;PF16190;PF16191	UBA1		
411	UBB	P0CG47	DB02542	PF00240	UBB		
412	UBR4	Q5T4S7	DB04959;DB05483	PF02207;PF13764	UBR4		
413	UMPS	P11172	DB00544;DB02890	PF00156;PF00215	UMPS		
414	UROD	P06132	DB03727;DB04461	PF01208	UROD		SMP0000024;SMP0000342;SMP0000344;SMP0000345;SMP0000346
415	VARS1	P26640	DB00161	PF00043;PF00133;PF08264	VARS		
416	VCP	P55072	DB04395;DB12695	PF00004;PF02359;PF02933;PF09336	VCP		
417	VDAC1	P21796	DB01375;DB09061;DB14009;DB14011	PF01459	VDAC1		
418	VDAC2	P45880	DB01375;DB06098	PF01459	VDAC2		
419	VDAC3	Q9Y277	DB01375;DB06098	PF01459	VDAC3		
420	WARS1	P23381	DB00150;DB01831;DB04537	PF00458;PF00579	WARS		SMP0000063
421	YARS1	P54577	DB00135;DB01766;DB02709;DB03978;DB07205;DB08371;DB08617	PF00579;PF01588	YARS		SMP0000008;SMP0000206;SMP0000369;SMP0000370
