genes	uniprot	uniprot.isoform	uniprot.chain	hgnc.symbol	ec-code	taxonomy	uniparc	rhea	go	ccds	ena.embl	refseq	bmrb	pdb	sasbdb	smr	biogrid	complexportal	dip	intact	chembl.target	drugbank	iuphar.receptor	cazy	ideal	merops	peroxibase	tcdb	dbsnp	proteomicsdb.protein	ensembl	ncbigene	kegg.genes	genecards	hgnc	hpa	mim	nextprot	orphanet	pharmgkb.gene	eggnog	genetree	hogenom	oma.grp	orthodb	treefam	biocyc	brenda	reactome	genewiki	bgee.gene	cdd	disprot	hamap	interpro	panther.family	pfam	pirsf	prints	prosite	smart	supfam	chromosome
ABCC5	O15440	O15440-1;O15440-2;O15440-3;O15440-4;O15440-5	PRO_0000093363	ABCC5	7.6.2.-;7.6.2.2	9606	UPI000004A33C	66188;66184;66728;66732;66740;66744;66752;66756;66736;66760;66720;66764	0005524;0005796;0005886;0006805;0006855;0008514;0008559;0010008;0015216;0015232;0015562;0015865;0016020;0016323;0016324;0016887;0022884;0030213;0034634;0034775;0035351;0042626;0042908;0042910;0043225;0055085;0070730;0070731;0098838;0140115;0150104;1901505	CCDS33898.1;CCDS43176.1	AF104942;AF146074;AB019002;U83661;AY754874;AY754875;AY754876;AY196484;AC068644;CH471052;BC050744;BC140771;BC142719;AB005659	NP_001018881.1;NP_001306961.1;NP_005679.2;XP_005247115.1;XP_005247116.1;XP_011510616.1;XP_016860982.1;XP_016860983.1;XP_047303054.1;XP_047303055.1;XP_047303056.1;XP_054200801.1;XP_054200802.1;XP_054200803.1;XP_054200804.1;XP_054200806.1;XP_054200807.1;XP_054200808.1		8KCI;8WI2;8WI3;8WI4;8WI5		O15440	115368			O15440	CHEMBL2046258	DB00718;DB00770;DB01076;DB00515;DB11672;DB14635;DB02527;DB00917;DB00975;DB00544;DB00143;DB08818;DB01033;DB00642;DB01032;DB01045;DB00203;DB01138;DB00495	783					3.A.1.208.15		48667;48668;48669;48670;69929	ENST00000265586.10;ENST00000334444.11;ENST00000382494.6;ENST00000392579.6;ENST00000443376.5	10057	hsa:10057	ABCC5	56	ENSG00000114770	605251	NX_O15440		PA395	KOG0054	ENSGT00940000155470	CLU_000604_27_3_1	QVTDAWT	6500128at2759	TF105202		7.6.2.3	R-HSA-2142850;R-HSA-382556;R-HSA-9748787;R-HSA-9753281	ABCC5	ENSG00000114770	cd18592;cd18599;cd03250;cd03244			IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR050173;IPR027417	PTHR24223;PTHR24223:SF196	PF00664;PF00005			PS50929;PS00211;PS50893	SM00382	SSF90123;SSF52540	3
ABCE1	P61221		PRO_0000093316	ABCE1	3.6.5.-	9606	UPI0000001226	19669;13065;29387;64900	0003924;0005506;0005524;0005737;0005739;0005759;0005829;0006413;0006415;0006417;0016020;0016887;0017111;0022626;0032790;0043024;0043273;0051539;0060698;0060702;0072344	CCDS34071.1	X76388;X74987;AB062293;BT009779;DQ148409;BC016283;BC016988	NP_001035809.1;NP_002931.2		6ZME;6ZVJ;7A09		P61221	111986			P61221								3.A.1.31.4	rs3816497	57276	ENST00000296577.9	6059	hsa:6059	ABCE1	69	ENSG00000164163	601213	NX_P61221		PA24404	KOG0063	ENSGT00390000015089	CLU_017344_4_1_1	MVCIQNG	6593433at2759	TF105206			R-HSA-8983711;R-HSA-909733		ENSG00000164163	cd03236;cd03237			IPR017896;IPR017900;IPR003593;IPR003439;IPR017871;IPR027417;IPR013283;IPR034348;IPR007209	PTHR19248	PF00005;PF00037;PF04068		PR01868	PS00198;PS51379;PS00211;PS50893	SM00382	SSF54862;SSF52540	4
ABCG2	Q9UNQ0	Q9UNQ0-1;Q9UNQ0-2	PRO_0000093386	ABCG2	7.6.2.2	9606	UPI0000001275	16461;61332;38951;61348;61364;61368;61384;61372;61376;60128;61356;61352;61360;82291	0005524;0005654;0005886;0008514;0008559;0015143;0015225;0015562;0015711;0015878;0016324;0016887;0030148;0031526;0031966;0032217;0032218;0042626;0042802;0042803;0042910;0045121;0046415;0046624;0055085;0070633;0097744;0098591;0140115;0150104;1990748;1990962	CCDS3628.1;CCDS58910.1	AF103796;AF098951;AB056867;AB051855;AY017168;AY289766;AY288307;AF463519;AY333755;AY333756;AK002040;AK290000;DQ996467;AC084732;AC097484;BC021281;BC092408;AF093771;AF093772	NP_001244315.1;NP_001335914.1;NP_001335915.1;NP_001335917.1;NP_001335918.1;NP_004818.2;XP_005263412.1;XP_011530722.1;XP_054207259.1		5NJ3;5NJG;6ETI;6FEQ;6FFC;6HBU;6HCO;6HIJ;6HZM;6VXF;6VXH;6VXI;6VXJ;7NEQ;7NEZ;7NFD;7OJ8;7OJH;7OJI;8BHT;8BI0;8P7W;8P8A;8P8J;8PXO;8PY4;8Q7B;8QCM;8U2C		Q9UNQ0	114821		DIP-29162N	Q9UNQ0	CHEMBL5393	DB12001;DB08916;DB11363;DB00437;DB12015;DB03496;DB06288;DB11901;DB06605;DB01238;DB09274;DB12597;DB16098;DB06237;DB15233;DB11995;DB16407;DB13997;DB11817;DB00394;DB16703;DB15982;DB11967;DB04851;DB12267;DB12151;DB00921;DB06772;DB11751;DB00201;DB04690;DB08907;DB09061;DB14737;DB12218;DB11791;DB00958;DB00482;DB00439;DB04540;DB00515;DB00242;DB00631;DB00845;DB09065;DB05239;DB00286;DB12483;DB00091;DB08912;DB09102;DB11963;DB00970;DB02115;DB11682;DB12941;DB09183;DB01254;DB00694;DB11943;DB16650;DB01234;DB14649;DB00255;DB01248;DB08930;DB00843;DB05928;DB00997;DB00470;DB11952;DB06374;DB04881;DB06210;DB09038;DB13874;DB11718;DB00530;DB11827;DB00783;DB13952;DB13953;DB13954;DB13955;DB13956;DB00655;DB00773;DB00973;DB04854;DB12500;DB09279;DB00544;DB00158;DB12010;DB11796;DB02703;DB15149;DB15097;DB00317;DB01645;DB12141;DB11978;DB13879;DB01016;DB01094;DB14538;DB14539;DB14540;DB14541;DB14542;DB14543;DB14544;DB09054;DB00619;DB11886;DB00762;DB11633;DB06636;DB11757;DB01167;DB00602;DB00709;DB00448;DB14723;DB11732;DB09027;DB01097;DB16217;DB09078;DB12070;DB17083;DB06448;DB13125;DB06234;DB14009;DB00563;DB01204;DB16390;DB11763;DB00688;DB14011;DB03467;DB00220;DB11820;DB04868;DB09079;DB11793;DB00698;DB01051;DB09074;DB16267;DB09296;DB00338;DB11632;DB09330;DB13055;DB00526;DB12612;DB11697;DB09073;DB05467;DB00213;DB09297;DB06589;DB00642;DB15102;DB13878;DB17472;DB08860;DB08901;DB06813;DB15822;DB01708;DB00175;DB00457;DB00396;DB04216;DB12874;DB01129;DB00481;DB08896;DB11853;DB16826;DB11855;DB08864;DB00740;DB12457;DB08931;DB14840;DB15305;DB00503;DB06228;DB09291;DB01098;DB04847;DB12332;DB06654;DB01232;DB15685;DB11689;DB06290;DB08934;DB00398;DB12713;DB15569;DB12548;DB09118;DB00795;DB00391;DB00669;DB01268;DB11644;DB11760;DB00675;DB04348;DB12887;DB12020;DB01079;DB00966;DB12095;DB00853;DB00444;DB09299;DB15133;DB08880;DB00624;DB13943;DB13944;DB13946;DB11712;DB11800;DB01685;DB01030;DB14962;DB15442;DB11652;DB15328;DB15091;DB12255;DB05294;DB11613;DB08881;DB11581;DB00285;DB15456;DB00541;DB08828;DB12026;DB00549;DB00495	792					3.A.1.204.2	rs2231137;rs1319203095;rs2231142;rs372192400;rs753759474;rs528655917;rs1061017;rs12721643;rs1061018;rs3116448;rs41282401;rs138606116;rs752626614;rs199854112;rs769734146;rs1354553769;rs1274428653;rs192169063;rs45605536;rs9282571;rs200894058;rs34264773;rs34783571	85323;85324	ENST00000237612.8;ENST00000515655.5;ENST00000650821.1	9429	hsa:9429	ABCG2	74	ENSG00000118777	138900;603756;614490	NX_Q9UNQ0		PA390	KOG0061	ENSGT00940000162658	CLU_000604_57_8_1	MCVNGFM	66620at2759	TF105211		7.6.2.2;7.6.2.3	R-HSA-1660661;R-HSA-189451;R-HSA-189483;R-HSA-2161517;R-HSA-917937;R-HSA-9725554;R-HSA-9753281;R-HSA-9793528;R-HSA-9818032	ABCG2	ENSG00000118777	cd03213			IPR003593;IPR013525;IPR003439;IPR043926;IPR050352;IPR027417	PTHR48041;PTHR48041:SF92	PF01061;PF19055;PF00005			PS50893	SM00382	SSF52540	4
ABHD14B	Q96IU4	Q96IU4-1;Q96IU4-2	PRO_0000065038	ABHD14B	2.3.1.-	9606	UPI000006F0B7	45948	0005634;0005654;0005730;0005737;0005829;0016787;0045944;0050427;0061733;0070062	CCDS2842.1	AK075034;AK075112;AK096073;BC007234;BC050650;BC056411	NP_001139786.1;NP_001241682.1;NP_116139.1		1IMJ		Q96IU4	124289			Q96IU4						S33.983				76854;76855	ENST00000361143.10;ENST00000395008.6;ENST00000483233.5;ENST00000525795.1	84836	hsa:84836	ABHD14B	28235	ENSG00000114779	621040	NX_Q96IU4		PA142672660	ENOG502QR0B	ENSGT00940000159388	CLU_020336_28_0_1	GEVVLWY	284184at2759	TF314465	MetaCyc:ENSG00000114779-MONOMER		R-HSA-156584		ENSG00000114779				IPR000073;IPR029058	PTHR46197;PTHR46197:SF2	PF12697					SSF53474	3
ABHD16A	O95870	O95870-1;O95870-2	PRO_0000064833	ABHD16A	3.1.-.-;3.1.1.23	9606	UPI00001267A2	44500;41752;44516;44520;44524;44528;44540;40919;44312;39963;38487;38491;44732;44728;26132;45412;45416;48428	0004620;0006660;0016020;0047372;0052651;1905344	CCDS4713.1;CCDS54988.1	AF193047;AK001207;AK023194;AK297712;AF129756;BA000025;AL662899;AL670886;AL805934;BX248244;BX511262;CR354443;CR753842;CR759761;CR759787;BC031839	NP_001170986.1;NP_066983.1				O95870	113650			O95870	CHEMBL6168					S09.065				51110;51111	ENST00000395952.8;ENST00000440843.2;ENST00000446529.6;ENST00000548592.1;ENST00000549722.1;ENST00000549853.1;ENST00000550556.1;ENST00000551038.1;ENST00000552042.1	7920	hsa:7920	ABHD16A	13921	ENSG00000204427	142620;619735	NX_O95870	631085	PA25266	KOG1553	ENSGT00940000160908	CLU_040705_2_0_1	THCTQLP	6412627at2759	TF314267				BAT5	ENSG00000204427				IPR000073;IPR029058;IPR054518	PTHR12277;PTHR12277:SF54	PF22990;PF00561					SSF53474	6
ABHD17B	Q5VST6	Q5VST6-1;Q5VST6-2	PRO_0000281111	ABHD17B	3.1.2.22	9606	UPI0000210B1D	19233	0002084;0005886;0008474;0010008;0016020;0043197;0055038;0098839;0099175;1902473;1902817;1902950;1905668	CCDS35042.1;CCDS35043.1	AF151825;AK293060;AL138751;AL671309;CH471089;BC038390;BC044576	NP_001020951.1;NP_057098.2;XP_006717197.2;XP_016870276.1;XP_016870277.1;XP_016870278.1;XP_047279402.1;XP_054219026.1;XP_054219027.1;XP_054219028.1;XP_054219029.1;XP_054219030.1				Q5VST6	119293			Q5VST6	CHEMBL2189132					S09.055			rs12380380;rs17854317	65278;65279	ENST00000333421.7;ENST00000377041.6	51104	hsa:51104	ABHD17B	24278	ENSG00000107362	617943	NX_Q5VST6		PA162385624	KOG1552	ENSGT00940000157611	CLU_029375_5_4_1	GENIYML	446723at2759	TF314365			R-HSA-9648002		ENSG00000107362				IPR029058;IPR022742	PTHR12277;PTHR12277:SF48	PF12146					SSF53474	9
ABO	P16442		PRO_0000012268;PRO_0000012269	ABO	2.4.1.37;2.4.1.40	9606	UPI00001268F6	19021;14349	0000139;0000166;0003823;0004380;0004381;0005576;0005794;0005975;0006486;0030145;0030259;0031982;0032580		J05175;X84746;X84747;X84748;X84749;X84750;X84751;X84752;AF134412;AF134413;AF134414;AH007586;AH007587;AH007592;AJ920329;AM423110;AM492698;AM492699;AY268591;AL772161;BC069595;BC111575;AJ536135;AJ536136;D82842;D82843;AF016622;AF448199;AF448200;AJ276689	NP_065202.2		1LZ0;1LZ7;1LZI;1LZJ;1R7T;1R7U;1R7V;1R7X;1R7Y;1R80;1R81;1R82;1WSZ;1WT0;1WT1;1WT2;1WT3;1XZ6;1ZHJ;1ZI1;1ZI3;1ZI4;1ZI5;1ZIZ;1ZJ0;1ZJ1;1ZJ2;1ZJ3;1ZJO;1ZJP;2A8U;2A8W;2I7B;2O1F;2O1G;2O1H;2PGV;2PGY;2RIT;2RIX;2RIY;2RIZ;2RJ0;2RJ1;2RJ4;2RJ5;2RJ6;2RJ7;2RJ8;2RJ9;2Y7A;3I0C;3I0D;3I0E;3I0F;3I0G;3I0H;3I0I;3I0J;3I0K;3I0L;3IOH;3IOI;3IOJ;3SX3;3SX5;3SX7;3SX8;3SXA;3SXB;3SXC;3SXD;3SXE;3SXG;3U0X;3U0Y;3V0L;3V0M;3V0N;3V0O;3V0P;3V0Q;3ZGF;3ZGG;4C2S;4FQW;4FRA;4FRB;4FRD;4FRE;4FRH;4FRL;4FRM;4FRO;4FRP;4FRQ;4GBP;4KC1;4KC2;4KC4;4KXO;4Y62;4Y63;4Y64;5BXC;5C1G;5C1H;5C1L;5C36;5C38;5C3A;5C3B;5C3D;5C47;5C48;5C49;5C4B;5C4C;5C4D;5C4E;5C4F;5C8R;5CMF;5CMG;5CMH;5CMI;5CMJ;5CQL;5CQM;5CQN;5CQO;5CQP;5M79;5M7A;5M7B;5M7C;5M7D;5TJK;5TJL;5TJN;5TJO;6BJI;6BJJ;6BJK;6BJL;6BJM;6GWY;6GWZ;6GX0;6GX1;6GX2		P16442	106546				CHEMBL2321639	DB04141;DB03772;DB07357;DB07378;DB04681;DB04680;DB03501;DB04678;DB04679;DB07341;DB07633;DB03435;DB02196		GT6					rs8176696;rs688976;rs549446;rs512770;rs1053878;rs8176738;rs55756402;rs7853989;rs8176739;rs8176740;rs8176743;rs8176745;rs8176746;rs8176747;rs41302905;rs8176748	53361		28	hsa:28	ABO	79		110300;616093	NX_P16442		PA24415	ENOG502QQAJ				10013941at2759		MetaCyc:HS10887-MONOMER	2.4.1.37;2.4.1.40;2.4.1.88	R-HSA-9033807	ABO_(gene)		cd02515	DP00339		IPR005076;IPR029044	PTHR10462;PTHR10462:SF29	PF03414					SSF53448	Unplaced
ACAT2	Q9BWD1	Q9BWD1-1;Q9BWD1-2	PRO_0000206409	ACAT2	2.3.1.9	9606	UPI000013CA85	21036	0003985;0005737;0005829;0006629;0006631;0070062	CCDS5268.1	S70154;AF356877;AK294273;AL135914;CH471051;BC000408	NP_001290182.1;NP_005882.2		1WL4;1WL5		Q9BWD1	106557			Q9BWD1	CHEMBL2240	DB01992;DB01915	2436						rs25683	6403;79268	ENST00000367048.5	39	hsa:39	ACAT2	94	ENSG00000120437	100678	NX_Q9BWD1		PA19	KOG1390	ENSGT01030000234626	CLU_031026_0_0_1	ICPSIAI	5404651at2759	TF300650	MetaCyc:ENSG00000120437-MONOMER	2.3.1.9	R-HSA-191273	ACAT2	ENSG00000120437	cd00751			IPR002155;IPR016039;IPR020610;IPR020617;IPR020613;IPR020616	PTHR18919:SF107;PTHR18919	PF02803;PF00108	PIRSF000429		PS00737;PS00099		SSF53901	6
ACER2	Q5QJU3	Q5QJU3-1;Q5QJU3-2;Q5QJU3-3	PRO_0000247748	ACER2	3.5.1.-;3.5.1.23	9606	UPI000014042D	41267;41275;41279;38891;41287;41291;41283;41295;41299;20856;33551	0000139;0001953;0005794;0006974;0008284;0010506;0017040;0030149;0030330;0032526;0033629;0042981;0046512;0046514;0046872;0060049;0071466	CCDS34992.1	AY312516;AF370405;AL158206;AL391834;BC092487	NP_001010887.2;XP_005251505.1;XP_016870183.1;XP_047279291.1;XP_054218878.1;XP_054218879.1				Q5QJU3	131056			Q5QJU3	CHEMBL2331067								rs10964136		ENST00000340967.3	340485	hsa:340485	ACER2	23675	ENSG00000177076	613492	NX_Q5QJU3		PA164714853	KOG2329	ENSGT00730000110920	CLU_088280_0_0_1	FWHILIF	187171at2759	TF313019		3.5.1.23	R-HSA-9845614	ACER2	ENSG00000177076				IPR008901	PTHR46139;PTHR46139:SF1	PF05875						9
ACER3	Q9NUN7	Q9NUN7-1;Q9NUN7-2	PRO_0000212463	ACER3	3.5.1.-;3.5.1.23	9606	UPI000013DB7C	33555;45348;45376;45380;45356;45360;45364;41299;45372;45368;20856;33551	0000139;0005509;0005789;0006954;0008270;0008284;0016020;0017040;0042552;0043067;0046512;0046514;0071602	CCDS8247.1	AF214454;AF327353;AK002100;AK315000;AP000752;AP002498;AP003119;CH471076;BC073853	NP_060837.3		6G7O;6YXH		Q9NUN7	120612			Q9NUN7									rs1554988032	82700;82701	ENST00000532485.6	55331	hsa:55331	ACER3	16066	ENSG00000078124	617036;617762	NX_Q9NUN7	502444	PA33256	KOG2329	ENSGT00730000110920		IMFEPLR	187171at2759	TF313019		3.5.1.23	R-HSA-9845614	ACER3	ENSG00000078124				IPR008901	PTHR46187;PTHR46187:SF3	PF05875						11
ACHE	P22303	P22303-1;P22303-2;P22303-4;P22303-3	PRO_0000008587	ACHE	3.1.1.7	9606	UPI0000125216	17561	0001507;0001540;0001919;0002076;0003990;0004104;0005518;0005576;0005604;0005615;0005634;0005794;0005886;0006581;0007155;0007399;0007416;0009986;0016020;0016787;0017171;0031594;0031623;0032223;0042166;0042803;0042982;0043083;0043236;0045202;0048471;0050714;0060041;0095500;0098552;0120162	CCDS5709.1;CCDS5710.1;CCDS64736.1	M55040;S71129;AF334270;AK291321;AK223443;AY750146;AC011895;CH236956;CH471091;BC036813;BC105060;BC105062;BC143469;AF312032	NP_000656.1;NP_001269378.1;NP_001289550.1;NP_001289551.1;NP_001354844.1;NP_001354846.1;NP_056646.1;XP_006716058.1;XP_011514530.1;XP_011514531.1		1B41;1F8U;1VZJ;2X8B;3LII;4BDT;4EY4;4EY5;4EY6;4EY7;4EY8;4M0E;4M0F;4PQE;5FOQ;5FPQ;5HF5;5HF6;5HF8;5HF9;5HFA;5HQ3;6CQT;6CQU;6CQV;6CQW;6CQX;6CQY;6CQZ;6F25;6NEA;6NTG;6NTH;6NTK;6NTL;6NTM;6NTN;6NTO;6O4W;6O4X;6O50;6O52;6O5R;6O5S;6O5V;6O66;6O69;6U34;6U37;6U3P;6WUV;6WUY;6WUZ;6WV1;6WVC;6WVO;6WVP;6WVQ;6ZWE;7D9O;7D9P;7D9Q;7E3D;7E3H;7RB5;7RB6;7RB7;7XN1;8AEN;8AEV;8DT2;8DT4;8DT5;8DT7	P22303	P22303	106561		DIP-1119N	P22303	CHEMBL220	DB07846;DB02673;DB04617;DB04614;DB04615;DB07756;DB07701;DB02404;DB03814;DB08615;DB02343;DB02226;DB03005;DB04114;DB03128;DB01122;DB03283;DB00411;DB00122;DB14006;DB01245;DB00944;DB08357;DB08996;DB00449;DB00843;DB01010;DB01364;DB00898;DB00674;DB00483;DB06525;DB04864;DB03348;DB07555;DB00677;DB04924;DB03359;DB00358;DB00940;DB02825;DB02845;DB08167;DB04021;DB00805;DB01805;DB03740;DB04556;DB01400;DB04892;DB00981;DB00733;DB02166;DB00545;DB00863;DB00989;DB00382;DB04616;DB12816;DB01199;DB13503;DB04859	2465			S09.979			rs17881553;rs17885778;rs8286;rs1799805	53971;53972;53973;53974	ENST00000241069.11;ENST00000302913.8;ENST00000411582.4;ENST00000412389.5;ENST00000419336.6;ENST00000428317.7	43	hsa:43	ACHE	108	ENSG00000087085	100740;112100	NX_P22303		PA20	KOG4389	ENSGT00940000157637	CLU_006586_13_0_1	CDHLVAP	9000293at2759	TF315470		3.1.1.7;3.5.1.13	R-HSA-112311;R-HSA-1483191;R-HSA-422085	Acetylcholinesterase	ENSG00000087085	cd00312			IPR029058;IPR050654;IPR014788;IPR002018;IPR019826;IPR019819;IPR000997	PTHR43918;PTHR43918:SF11	PF08674;PF00135		PR00878	PS00122;PS00941		SSF53474	7
ACLY	P53396	P53396-1;P53396-2;P53396-3	PRO_0000102781	ACLY	2.3.3.8	9606	UPI000013CDF3	21160	0003878;0005524;0005576;0005654;0005829;0006085;0006101;0006107;0006633;0006695;0008610;0015936;0016020;0035578;0036064;0046872;0070062;1904813	CCDS11412.1;CCDS11413.1	X64330;U18197;AK295675;AK304802;AC091172;AC125257;BC006195	NP_001087.2;NP_001290203.1;NP_001290204.1;NP_942127.1;XP_005257452.1;XP_016880177.1		3MWD;3MWE;3PFF;5TDE;5TDF;5TDM;5TDZ;5TE1;5TEQ;5TES;5TET;6HXH;6HXK;6HXL;6HXM;6O0H;6POE;6POF;6QFB;6UI9;6UIA;6UUW;6UUZ;6UV5;6Z2H;7LIW;7LJ9;7LLA;7RIG;7RKZ;7RMP;8G1E;8G1F;8G5C;8G5D	P53396	P53396	106563			P53396	CHEMBL3720	DB11936	3245						rs2304497	56581;56582;5912	ENST00000352035.7;ENST00000353196.5;ENST00000393896.6;ENST00000537919.5;ENST00000590151.5	47	hsa:47	ACLY	115	ENSG00000131473	108728	NX_P53396		PA24441	KOG1254	ENSGT00940000154881	CLU_006587_2_0_1	MDYAWAK	3261737at2759	TF300560	MetaCyc:HS05535-MONOMER	2.3.3.8	R-HSA-163765;R-HSA-6798695;R-HSA-75105		ENSG00000131473	cd06100			IPR014608;IPR017440;IPR032263;IPR016143;IPR002020;IPR036969;IPR033847;IPR003781;IPR036291;IPR017866;IPR005811;IPR016102	PTHR23118;PTHR23118:SF42	PF16114;PF00285;PF02629;PF00549	PIRSF036511		PS01216;PS00399;PS01217	SM00881	SSF48256;SSF56059;SSF51735;SSF52210	17
ACO1	P21399		PRO_0000076680	ACO1	4.2.1.3	9606	UPI000012D87E	10336	0000900;0003723;0003994;0005737;0005739;0005783;0005794;0005829;0006099;0006101;0006879;0009791;0010040;0030350;0046872;0050892;0051536;0051538;0051539;0070062	CCDS6525.1	Z11559;DQ496106;AL161783;CH471071;BC018103;M58510	NP_001265281.1;NP_001349769.1;NP_002188.1;XP_005251533.1;XP_011516190.1;XP_054218982.1		2B3X;2B3Y		P21399	106564			P21399		DB06757							rs150373174;rs3814519;rs34630459	53867	ENST00000309951.8;ENST00000379923.5;ENST00000541043.5	48	hsa:48	ACO1	117	ENSG00000122729	100880	NX_P21399		PA24442	KOG0452	ENSGT00940000157772	CLU_013476_2_1_1	NGGIMQY	2279155at2759	TF313476	MetaCyc:HS04597-MONOMER	4.2.1.3	R-HSA-389542;R-HSA-917937		ENSG00000122729	cd01586;cd01580			IPR044137;IPR015931;IPR001030;IPR015928;IPR006249;IPR018136;IPR036008;IPR000573	PTHR11670	PF00330;PF00694		PR00415	PS00450;PS01244		SSF53732;SSF52016	9
ACOT7	O00154	O00154-1;O00154-2;O00154-3;O00154-4;O00154-5;O00154-6;O00154-7	PRO_0000053806	ACOT7	3.1.2.2	9606	UPI000012674F	16645;30143;30135;40139;40119;40059;30139	0000062;0005654;0005737;0005739;0005829;0006637;0009062;0015937;0036042;0036114;0036116;0042803;0051792;0052689;0052816;0070062;1900535	CCDS30573.1;CCDS65.1;CCDS66.1;CCDS67.1	D88894;AB074415;AB074416;AB074417;AB074418;AB074419;U91316;BT006888;AK289572;AK290097;AK291583;AK292202;AK057168;AL031847;AL031848;CH471130;BC017365	NP_009205.3;NP_863654.1;NP_863655.1;NP_863656.1		2QQ2		O00154	116460			O00154										47737;47738;47739;47740;47741;47742	ENST00000361521.9;ENST00000377842.7;ENST00000377845.7;ENST00000377855.6;ENST00000377860.8;ENST00000418124.5;ENST00000608083.5	11332	hsa:11332	ACOT7	24157	ENSG00000097021	602587	NX_O00154		PA142672655	KOG2763	ENSGT00940000155229	CLU_050164_0_0_1	PTDVNWG	331699at2759	TF329579	MetaCyc:HS01875-MONOMER	3.1.2.2;3.1.2.20	R-HSA-77289	ACOT7	ENSG00000097021	cd03442			IPR040170;IPR033120;IPR029069;IPR006683	PTHR11049;PTHR11049:SF27	PF03061			PS51770		SSF54637	1
ACP1	P24666	P24666-1;P24666-2;P24666-3;P24666-4	PRO_0000046558	ACP1	3.1.3.2;3.1.3.48	9606	UPI000013D926	10684;15017	0003993;0004725;0004726;0005737;0005829;0009898;0030946;0042383;0070062;0140793	CCDS1639.1;CCDS1640.1;CCDS46217.1	M83653;M83654;U25849;U25847;U25848;S62884;S62885;M87545;BT007136;AK289934;AK291861;BP363227;AC079779;CH471053;BC007422;BC106011;L06508	NP_001035739.1;NP_004291.1;NP_009030.1	P24666	1XWW;3N8I;4Z99;4Z9A;4Z9B;5JNR;5JNS;5JNT;5KQG;5KQL;5KQM;5KQP;5PNT;6Y2V;6Y2W;7KH8;7UW6		P24666	106568			P24666	CHEMBL4903	DB04214;DB00173							rs11691572;rs79716074;rs35569198	54220;54221;54222;6027	ENST00000272065.10;ENST00000272067.11;ENST00000407983.7	52	hsa:52	ACP1	122	ENSG00000143727	171500	NX_P24666		PA24446		ENSGT00940000158351	CLU_071415_2_0_1	YQQVTRF	3388at2759	TF353727		3.1.3.48		ACP1	ENSG00000143727	cd16343			IPR050438;IPR023485;IPR036196;IPR002115;IPR017867	PTHR11717:SF34;PTHR11717	PF01451		PR00719;PR00720		SM00226	SSF52788	2
ACSL1	P33121	P33121-1;P33121-2;P33121-3	PRO_0000193104	ACSL1	6.2.1.15;6.2.1.24;6.2.1.3	9606	UPI000004AC12	15421;19713;21380;30751;36139;47264;52016;52108;52112;52116;33607	0000038;0001676;0004467;0005524;0005739;0005741;0005778;0005783;0005789;0007584;0008610;0010747;0014070;0015908;0016020;0019432;0033211;0034201;0035338;0042178;0043539;0044539;0047676;0050197;0070251;0090434;0120162	CCDS3839.1;CCDS68826.1	D10040;L09229;AK096117;AK296826;AC079257;AC084871;CH471056;BC026290;BC050073	NP_001273637.1;NP_001273639.1;NP_001273640.1;NP_001273641.1;NP_001368806.1;NP_001368807.1;NP_001368808.1;NP_001368809.1;NP_001368810.1;NP_001368811.1;NP_001368812.1;NP_001368813.1;NP_001368814.1;NP_001368815.1;NP_001368816.1;NP_001986.2;XP_005262885.1;XP_005262886.1;XP_005262888.1;XP_011530044.1;XP_016863376.1;XP_016863377.1;XP_016863378.1;XP_047305775.1;XP_054205230.1;XP_054205231.1				P33121	108476			P33121	CHEMBL4295746	DB00131;DB00171								54898;54899;6570	ENST00000281455.7;ENST00000503407.6;ENST00000504342.5;ENST00000513317.5;ENST00000515030.5;ENST00000706366.1;ENST00000706367.1;ENST00000706368.1;ENST00000706369.1	2180	hsa:2180	ACSL1	3569	ENSG00000151726	152425	NX_P33121		PA27966	KOG1256	ENSGT00940000154508		WYHSIGL	1700726at2759	TF313877	MetaCyc:HS07766-MONOMER	6.2.1.3	R-HSA-1989781;R-HSA-2046105;R-HSA-2046106;R-HSA-75876;R-HSA-9841922	ACSL1	ENSG00000151726	cd05927			IPR020845;IPR000873;IPR042099;IPR045311	PTHR43272;PTHR43272:SF28	PF00501			PS00455		SSF56801	4
